Machine_ID,Temperature,Run_Time,Downtime_Flag
M0208,76.73,110.54,0
M0209,89.52,81.24,1
M0210,71.28,454.5,0
M0211,76.98,170.29,1
M0212,65.98,193.38,0
M0213,66.47,58.03,0
M0214,98.08,260.91,1
M0215,96.56,51.84,1
M0216,87.69,410.07,0
M0217,93.21,372.36,0
M0218,60.74,317.48,1
M0219,114.42,328.89,1
M0220,106.28,301.25,1
M0221,57.72,153.15,1
M0222,83.54,139.31,1
M0223,80.74,139.21,1
M0224,108.33,421.14,1
M0225,88.21,42.12,0
M0226,116.12,407.71,0
M0227,79.32,116.17,1
M0228,80.17,16.35,0
M0229,106.33,485.67,1
M0230,97.77,390.37,1
M0231,60.09,207.95,1
M0232,92.97,483.62,1
M0233,107.01,235.49,0
M0234,94.81,216.46,0
M0235,51.53,18.39,1
M0236,99.34,138.02,0
M0237,63.28,386.13,0
M0238,87.26,437.68,1
M0239,66.7,19.23,1
M0240,90.9,202.92,0
M0241,52.86,345.26,0
M0242,50.4,278.5,1
M0243,63.09,201.42,1
M0244,113.66,217.47,0
M0245,84.06,268.19,1
M0246,63.12,438.97,0
M0247,110.12,179.97,1
M0248,91.76,452.91,1
M0249,72.04,357.02,0
M0250,94.03,440.83,1
M0251,105.42,281.7,0
M0252,87.03,333.06,1
M0253,69.17,251.75,0
M0254,54.4,251.11,0
M0255,80.95,285.69,0
M0256,68.87,106.72,0
M0257,82.24,259.75,1
M0258,62.15,366.27,1
M0259,61.64,419.66,0
M0260,84.23,19.73,1
M0261,61.24,78.0,0
M0262,109.48,439.64,1
M0263,50.83,460.35,1
M0264,81.63,458.8,1
M0265,98.3,280.18,1
M0266,104.65,187.9,0
M0267,79.76,404.84,0
M0268,93.71,218.24,1
M0269,80.13,122.06,1
M0270,70.71,252.05,1
M0271,56.37,188.25,0
M0272,65.28,221.11,1
M0273,79.92,262.67,1
M0274,59.81,11.39,0
M0275,99.65,86.59,1
M0276,115.88,67.09,1
M0277,81.85,315.71,1
M0278,103.67,101.12,0
M0279,73.38,144.06,1
M0280,53.67,273.19,1
M0281,93.08,261.35,1
M0282,101.44,24.78,1
M0283,106.31,277.68,1
M0284,62.59,85.0,0
M0285,51.98,292.7,1
M0286,86.74,425.41,0
M0287,61.72,48.9,1
M0288,119.68,371.73,1
M0289,94.64,110.03,0
M0290,104.17,344.88,0
M0291,92.07,79.32,0
M0292,65.38,453.88,0
M0293,53.77,224.57,1
M0294,81.09,332.05,1
M0295,81.54,499.95,1
M0296,54.82,172.86,0
M0297,54.63,76.05,1
M0298,58.61,435.66,1
M0299,69.89,140.01,1
M0300,103.96,264.68,1
M0301,69.53,116.38,1
M0302,94.31,48.69,1
M0303,75.03,90.58,1
M0304,79.41,313.28,0
M0305,103.34,243.29,1
M0306,73.87,74.86,0
M0307,55.68,287.61,1
M0308,115.61,131.18,1
M0309,100.59,342.13,0
M0310,98.22,288.23,1
M0311,103.1,419.75,1
M0312,59.91,97.74,1
M0313,61.32,10.85,1
M0314,80.92,340.61,0
M0315,84.81,344.83,0
M0316,74.08,369.68,0
M0317,90.32,385.21,0
M0318,65.79,421.24,1
M0319,53.72,248.3,0
M0320,106.25,479.51,1
M0321,81.91,94.75,1
M0322,69.73,191.17,0
M0323,110.5,484.3,1
M0324,106.84,395.37,0
M0325,112.73,438.16,1
M0326,68.78,492.69,1
M0327,81.32,229.44,0
M0328,89.72,477.34,1
M0329,67.04,141.42,1
M0330,72.44,459.35,1
M0331,54.01,204.27,0
M0332,80.29,146.01,1
M0333,58.43,174.76,0
M0334,65.05,172.98,0
M0335,118.73,51.52,1
M0336,109.84,37.07,0
M0337,99.25,405.08,0
M0338,77.51,421.23,0
M0339,119.17,419.55,1
M0340,93.2,356.41,0
M0341,98.6,159.69,0
M0342,105.0,85.37,1
M0343,85.2,112.23,1
M0344,74.03,256.05,0
M0345,66.52,414.32,1
M0346,54.16,104.92,1
M0347,78.17,487.09,1
M0348,80.23,127.72,1
M0349,62.44,285.12,1
M0350,79.41,289.89,0
M0351,98.37,273.28,0
M0352,100.57,441.96,1
M0353,61.32,401.81,0
M0354,54.41,485.6,1
M0355,101.87,447.43,1
M0356,97.25,136.88,0
M0357,93.17,420.0,0
M0358,79.58,23.31,1
M0359,50.81,432.83,1
M0360,101.62,158.79,1
M0361,51.34,384.71,1
M0362,79.86,439.5,0
M0363,104.64,284.75,1
M0364,87.61,436.15,0
M0365,71.84,449.97,0
M0366,107.08,479.95,0
M0367,92.74,450.79,0
M0368,52.36,106.09,0
M0369,97.71,135.91,1
M0370,104.24,382.34,0
M0371,54.45,280.31,1
M0372,59.68,104.98,0
M0373,73.15,169.43,0
M0374,119.89,33.72,0
M0375,51.37,431.58,0
M0376,51.76,173.88,0
M0377,51.86,226.92,1
M0378,116.27,22.36,0
M0379,101.38,217.11,1
M0380,84.32,489.14,1
M0381,75.4,118.94,1
M0382,110.99,281.39,0
M0383,94.89,286.58,1
M0384,101.97,277.71,1
M0385,83.66,282.33,1
M0386,59.42,325.24,1
M0387,70.4,192.88,0
M0388,79.31,60.09,1
M0389,98.11,412.71,0
M0390,88.71,276.67,0
M0391,104.13,366.65,0
M0392,69.31,442.84,0
M0393,79.04,271.32,0
M0394,106.15,170.61,0
M0395,112.99,295.34,0
M0396,71.22,427.6,1
M0397,57.53,275.03,1
M0398,103.86,358.12,1
M0399,72.86,334.56,1
M0400,93.32,254.32,1
M0401,116.05,240.99,1
M0402,73.36,37.31,0
M0403,103.82,499.0,0
M0404,72.9,149.59,1
M0405,64.17,243.24,1
M0406,77.23,344.3,1
M0407,85.18,168.74,1
M0408,97.81,64.52,0
M0409,94.43,19.14,1
M0410,105.06,180.57,0
M0411,70.5,53.59,1
M0412,114.22,268.57,1
M0413,73.17,494.36,0
M0414,86.88,261.33,0
M0415,110.85,27.46,1
M0416,79.01,454.54,1
M0417,83.74,443.42,1
M0418,74.06,68.23,0
M0419,57.58,153.46,1
M0420,69.2,333.82,1
M0421,111.49,433.31,1
M0422,106.69,54.85,1
M0423,96.79,356.95,0
M0424,78.92,265.31,1
M0425,72.11,174.3,0
M0426,108.13,347.26,0
M0427,104.35,254.42,0
M0428,111.95,137.44,1
M0429,88.11,325.51,0
M0430,113.75,166.82,1
M0431,71.63,105.08,1
M0432,84.63,411.42,1
M0433,119.65,490.79,1
M0434,60.86,188.0,0
M0435,54.51,259.12,1
M0436,52.97,265.55,1
M0437,80.37,28.87,1
M0438,69.36,424.53,1
M0439,54.51,152.76,1
M0440,71.9,79.15,1
M0441,106.91,352.8,0
M0442,67.64,154.65,0
M0443,50.61,355.82,1
M0444,107.94,256.18,0
M0445,119.4,413.67,0
M0446,87.64,237.39,0
M0447,112.65,449.7,1
M0448,100.25,230.54,1
M0449,100.84,336.81,0
M0450,105.41,181.65,1
M0451,98.95,42.58,0
M0452,50.04,92.49,1
M0453,77.15,441.41,0
M0454,57.04,401.19,1
M0455,56.34,347.45,1
M0456,61.52,149.59,0
M0457,115.41,218.13,0
M0458,67.37,162.76,0
M0459,60.27,84.05,1
M0460,77.18,339.86,1
M0461,66.68,409.78,0
M0462,119.07,449.07,1
M0463,77.47,358.99,1
M0464,83.58,417.41,0
M0465,65.42,433.26,1
M0466,118.58,158.39,0
M0467,79.09,133.3,0
M0468,108.1,76.31,1
M0469,113.62,395.12,1
M0470,97.51,116.91,1
M0471,117.18,268.84,1
M0472,65.53,195.31,1
M0473,73.01,206.23,1
M0474,71.95,196.76,0
M0475,52.18,177.01,1
M0476,106.54,161.54,1
M0477,114.71,226.98,1
M0478,92.21,14.66,0
M0479,83.45,389.61,0
M0480,74.88,119.52,1
M0481,114.11,85.97,0
M0482,95.36,207.56,1
M0483,63.15,313.0,0
M0484,119.86,190.58,0
M0485,106.56,243.87,0
M0486,74.24,13.58,1
M0487,77.45,216.62,0
M0488,110.32,95.28,0
M0489,51.6,30.09,1
M0490,101.36,72.07,1
M0491,55.13,216.26,1
M0492,88.43,486.62,0
M0493,76.66,497.87,1
M0494,90.09,137.06,1
M0495,54.31,213.53,1
M0496,117.12,451.48,0
M0497,101.88,273.0,0
M0498,52.83,424.58,0
M0499,116.16,410.79,0
M0500,106.1,450.47,0
M0501,117.28,92.48,1
M0502,53.17,362.06,0
M0503,85.86,354.83,0
M0504,104.13,370.51,1
M0505,72.66,36.38,0
M0506,114.22,477.36,1
M0507,56.91,261.22,0
M0508,116.95,272.35,1
M0509,104.27,117.29,0
M0510,55.3,189.27,0
M0511,73.03,17.79,0
M0512,110.63,255.28,1
M0513,118.76,432.8,0
M0514,90.82,74.8,1
M0515,109.21,148.64,0
M0516,108.44,376.8,1
M0517,94.69,235.79,0
M0518,78.11,177.47,1
M0519,85.73,393.65,0
M0520,99.93,283.83,0
M0521,64.56,100.79,0
M0522,117.77,82.35,0
M0523,76.2,288.4,1
M0524,59.24,37.97,0
M0525,80.63,143.4,1
M0526,85.88,151.26,1
M0527,85.82,437.67,0
M0528,64.11,76.63,1
M0529,102.27,122.57,1
M0530,63.65,212.24,0
M0531,69.75,354.17,0
M0532,90.54,219.0,1
M0533,61.32,301.26,0
M0534,105.37,411.9,1
M0535,86.16,450.25,1
M0536,55.38,253.22,1
M0537,80.45,398.42,0
M0538,80.53,304.34,0
M0539,55.01,364.83,0
M0540,86.74,314.76,1
M0541,89.0,276.71,1
M0542,69.33,329.28,1
M0543,81.89,144.97,1
M0544,112.66,105.27,1
M0545,67.14,73.95,0
M0546,89.82,102.69,0
M0547,99.2,129.07,1
M0548,77.23,418.89,0
M0549,66.19,233.28,1
M0550,109.92,431.39,1
M0551,97.8,144.88,1
M0552,70.45,46.89,1
M0553,118.24,462.96,1
M0554,93.32,403.24,0
M0555,80.21,382.33,0
M0556,93.92,441.28,0
M0557,61.34,146.21,0
M0558,98.01,139.35,1
M0559,85.24,323.51,0
M0560,87.35,349.58,1
M0561,108.72,334.45,0
M0562,99.61,309.55,0
M0563,95.56,256.81,1
M0564,83.92,323.25,1
M0565,80.46,392.86,0
M0566,90.58,349.13,1
M0567,51.77,362.79,1
M0568,58.68,163.56,1
M0569,65.83,450.82,0
M0570,85.67,423.28,0
M0571,84.73,346.99,1
M0572,64.85,35.63,0
M0573,56.74,435.04,1
M0574,64.62,130.01,0
M0575,102.83,257.53,1
M0576,87.98,398.79,0
M0577,110.63,388.12,1
M0578,117.72,441.61,0
M0579,90.5,136.45,1
M0580,77.83,473.96,0
M0581,70.61,471.17,0
M0582,68.31,174.3,1
M0583,72.26,140.31,0
M0584,101.35,159.21,1
M0585,111.52,136.74,0
M0586,80.47,337.82,0
M0587,60.91,80.79,0
M0588,60.79,145.35,0
M0589,63.87,70.69,1
M0590,78.47,87.59,0
M0591,78.94,418.71,0
M0592,54.97,306.12,1
M0593,113.19,449.38,0
M0594,95.02,70.83,1
M0595,93.81,347.78,0
M0596,76.84,266.47,1
M0597,87.29,317.97,0
M0598,107.52,335.9,1
M0599,97.51,405.16,0
M0600,50.99,273.13,1
M0601,72.55,37.35,1
M0602,97.71,287.99,0
M0603,61.31,199.53,0
M0604,56.4,154.37,0
M0605,94.38,409.66,1
M0606,111.17,317.1,0
M0607,96.79,126.06,0
M0608,118.06,30.52,0
M0609,90.28,396.69,0
M0610,50.96,85.34,0
M0611,82.25,337.89,0
M0612,115.1,479.75,1
M0613,59.63,192.2,0
M0614,75.86,482.82,1
M0615,95.1,130.17,0
M0616,74.12,414.46,1
M0617,76.14,384.47,1
M0618,59.77,468.12,0
M0619,88.78,149.04,1
M0620,63.05,18.19,0
M0621,64.64,125.73,1
M0622,113.44,368.89,1
M0623,85.95,46.17,1
M0624,89.38,79.62,0
M0625,68.24,489.59,0
M0626,94.44,376.59,1
M0627,116.54,268.71,1
M0628,115.05,453.97,0
M0629,119.95,169.33,0
M0630,50.94,141.97,0
M0631,59.96,403.83,0
M0632,58.09,135.72,0
M0633,91.3,432.34,0
M0634,57.82,341.41,1
M0635,90.17,166.61,1
M0636,83.09,456.6,1
M0637,75.61,326.79,1
M0638,82.24,442.95,0
M0639,84.05,311.51,1
M0640,97.61,178.08,0
M0641,68.76,268.12,0
M0642,55.64,203.92,0
M0643,112.67,207.15,1
M0644,114.66,156.49,0
M0645,111.54,157.15,1
M0646,93.51,351.19,0
M0647,72.59,254.29,1
M0648,51.73,389.66,1
M0649,91.97,439.95,1
M0650,117.26,193.72,0
M0651,53.49,403.91,0
M0652,93.84,173.49,0
M0653,99.64,373.8,0
M0654,110.53,14.48,1
M0655,68.33,201.27,0
M0656,54.28,156.91,0
M0657,63.79,190.7,0
M0658,81.53,292.67,1
M0659,81.12,136.78,0
M0660,82.06,343.72,1
M0661,101.14,72.26,0
M0662,58.42,155.21,1
M0663,80.94,334.2,1
M0664,51.97,167.57,1
M0665,101.23,329.96,1
M0666,73.25,19.06,1
M0667,82.36,123.3,1
M0668,117.69,218.96,1
M0669,87.34,248.54,0
M0670,97.18,305.38,1
M0671,55.12,422.66,1
M0672,73.68,381.2,0
M0673,114.58,290.06,1
M0674,118.44,43.98,1
M0675,57.86,306.51,0
M0676,77.95,196.64,1
M0677,89.31,68.03,1
M0678,73.81,242.6,1
M0679,96.36,50.88,0
M0680,63.33,254.62,0
M0681,71.97,93.85,1
M0682,50.61,94.56,0
M0683,109.63,433.42,0
M0684,55.52,413.87,1
M0685,87.11,85.37,1
M0686,61.03,298.3,0
M0687,105.76,230.13,1
M0688,104.96,18.34,0
M0689,69.27,23.66,0
M0690,61.65,409.63,1
M0691,106.98,294.7,1
M0692,102.52,329.22,1
M0693,61.03,430.42,0
M0694,87.66,269.55,0
M0695,53.48,356.45,0
M0696,83.27,102.77,0
M0697,79.8,351.25,0
M0698,81.93,162.07,0
M0699,50.57,29.74,1
M0700,91.23,227.93,0
M0701,89.22,77.62,1
M0702,56.63,45.88,1
M0703,81.69,111.99,0
M0704,108.02,38.94,0
M0705,78.6,142.36,0
M0706,55.24,115.63,1
M0707,111.1,286.59,1
M0708,96.13,161.51,0
M0709,114.59,358.1,0
M0710,80.11,51.38,0
M0711,91.44,54.5,1
M0712,69.36,140.4,0
M0713,72.81,471.85,1
M0714,89.61,147.01,1
M0715,75.5,126.02,1
M0716,54.49,150.16,1
M0717,72.42,401.87,0
M0718,74.89,236.34,1
M0719,52.27,44.19,1
M0720,85.5,36.82,1
M0721,62.13,207.82,1
M0722,91.99,315.5,0
M0723,112.43,255.56,1
M0724,104.62,164.04,0
M0725,74.72,150.17,0
M0726,68.79,246.0,1
M0727,91.68,458.21,0
M0728,86.26,255.26,0
M0729,92.68,23.12,0
M0730,55.24,386.62,1
M0731,110.41,364.62,0
M0732,100.47,474.81,0
M0733,101.7,217.84,0
M0734,109.65,67.43,0
M0735,99.26,420.31,0
M0736,78.79,16.07,1
M0737,79.17,156.46,1
M0738,88.9,325.32,1
M0739,119.35,361.16,1
M0740,60.95,59.28,1
M0741,69.0,313.52,1
M0742,66.94,30.33,0
M0743,70.72,23.82,0
M0744,65.33,153.96,0
M0745,119.27,347.3,0
M0746,74.29,130.01,1
M0747,52.19,136.26,0
M0748,71.1,294.98,1
M0749,112.46,217.07,0
M0750,101.32,416.92,1
M0751,70.0,80.17,1
M0752,72.77,54.84,0
M0753,114.36,155.52,1
M0754,107.19,244.76,0
M0755,108.32,48.18,1
M0756,56.47,377.21,1
M0757,54.39,412.44,0
M0758,86.43,422.77,0
M0759,51.66,408.86,0
M0760,114.04,220.84,1
M0761,103.14,372.04,0
M0762,70.34,379.3,0
M0763,105.3,291.47,0
M0764,62.2,392.31,1
M0765,53.87,65.56,0
M0766,115.25,21.22,1
M0767,98.35,10.44,0
M0768,51.72,314.38,1
M0769,103.85,437.14,0
M0770,53.87,499.37,0
M0771,59.19,321.73,0
M0772,74.1,348.96,0
M0773,53.77,487.9,1
M0774,79.3,48.66,0
M0775,113.97,166.17,0
M0776,55.05,460.29,0
M0777,91.78,343.07,0
M0778,115.83,256.35,0
M0779,90.25,135.56,0
M0780,64.13,330.69,0
M0781,96.51,128.11,1
M0782,100.09,38.59,1
M0783,104.04,234.43,0
M0784,89.73,143.88,0
M0785,58.43,132.54,1
M0786,73.72,357.51,0
M0787,85.21,321.08,1
M0788,95.61,458.36,1
M0789,103.47,410.07,1
M0790,105.87,54.56,1
M0791,83.9,439.63,0
M0792,63.7,488.42,1
M0793,82.01,256.54,0
M0794,91.96,495.48,0
M0795,91.81,49.86,0
M0796,70.97,127.87,1
M0797,82.37,285.74,1
M0798,84.75,63.36,0
M0799,95.79,149.58,1
M0800,57.84,103.73,1
M0801,79.82,355.59,0
M0802,54.57,444.38,1
M0803,71.12,280.47,1
M0804,65.64,331.94,0
M0805,71.6,103.88,1
M0806,63.66,113.51,1
M0807,69.2,174.27,1
M0808,101.96,280.57,1
M0809,84.92,461.23,0
M0810,116.7,83.16,1
M0811,73.55,349.16,0
M0812,107.54,415.93,0
M0813,79.4,49.35,0
M0814,108.11,276.87,0
M0815,116.53,210.09,1
M0816,119.13,23.08,0
M0817,108.14,172.22,0
M0818,55.5,176.79,0
M0819,95.91,165.72,1
M0820,110.86,76.08,0
M0821,77.97,440.39,0
M0822,105.0,471.64,1
M0823,63.88,348.49,0
M0824,56.64,76.4,0
M0825,71.15,313.31,1
M0826,72.1,496.02,0
M0827,83.83,489.71,0
M0828,87.48,88.82,0
M0829,90.41,227.33,1
M0830,111.47,155.98,1
M0831,110.58,144.99,1
M0832,61.03,457.28,0
M0833,69.78,196.4,1
M0834,82.9,45.55,0
M0835,114.7,68.3,0
M0836,109.73,76.97,0
M0837,93.2,242.15,0
M0838,101.05,182.76,0
M0839,103.95,255.57,1
M0840,66.17,498.59,1
M0841,100.9,125.6,1
M0842,97.36,430.53,1
M0843,105.64,297.43,0
M0844,68.91,273.07,0
M0845,114.15,259.79,1
M0846,99.37,481.53,1
M0847,79.75,409.64,1
M0848,52.72,55.03,1
M0849,77.97,294.14,1
M0850,83.36,176.22,0
M0851,52.48,246.61,0
M0852,58.0,487.39,1
M0853,118.51,215.87,0
M0854,87.77,304.83,0
M0855,74.41,405.38,0
M0856,73.08,204.35,1
M0857,81.87,91.74,1
M0858,117.66,326.71,0
M0859,119.91,331.76,1
M0860,117.46,486.2,0
M0861,97.46,249.59,1
M0862,74.72,217.5,1
M0863,93.87,144.11,1
M0864,66.17,293.52,0
M0865,112.11,112.33,0
M0866,80.51,307.33,0
M0867,115.82,125.08,1
M0868,97.7,307.73,0
M0869,50.07,228.04,1
M0870,64.56,216.41,0
M0871,97.47,399.49,1
M0872,97.98,49.77,1
M0873,98.38,44.9,1
M0874,59.05,342.66,0
M0875,113.36,264.34,1
M0876,96.42,474.56,1
M0877,115.23,13.28,1
M0878,98.99,343.33,0
M0879,76.96,47.49,0
M0880,67.8,206.0,0
M0881,51.73,384.07,1
M0882,78.25,66.88,0
M0883,55.03,299.45,0
M0884,115.89,183.88,1
M0885,62.7,75.05,1
M0886,104.55,11.02,1
M0887,99.63,310.8,1
M0888,60.16,445.53,0
M0889,77.14,224.26,1
M0890,71.47,166.87,1
M0891,54.15,158.22,0
M0892,63.36,66.25,1
M0893,102.36,271.4,1
M0894,97.76,196.72,0
M0895,71.43,119.96,0
M0896,62.7,12.76,1
M0897,84.21,234.69,1
M0898,110.62,168.64,1
M0899,68.03,433.86,0
M0900,89.37,261.63,0
M0901,92.56,102.98,0
M0902,58.29,64.67,1
M0903,116.1,444.84,0
M0904,68.1,237.11,0
M0905,118.04,137.65,1
M0906,74.82,249.14,0
M0907,97.27,281.5,0
M0908,107.42,98.82,0
M0909,63.22,270.4,0
M0910,79.71,236.85,1
M0911,99.3,406.33,1
M0912,117.14,243.78,0
M0913,97.74,198.36,1
M0914,108.1,306.07,0
M0915,105.53,27.92,1
M0916,66.58,271.51,0
M0917,114.44,412.9,1
M0918,102.67,75.9,0
M0919,66.35,248.22,1
M0920,100.82,197.86,0
M0921,57.13,78.6,0
M0922,77.8,235.24,1
M0923,72.83,237.73,1
M0924,105.63,420.5,1
M0925,102.3,107.46,0
M0926,119.6,319.09,0
M0927,112.23,29.65,1
M0928,99.92,388.06,1
M0929,73.57,393.42,0
M0930,55.34,290.96,0
M0931,51.7,453.06,1
M0932,92.36,402.38,0
M0933,99.35,140.51,0
M0934,111.25,43.32,1
M0935,89.15,133.77,0
M0936,92.77,170.75,1
M0937,78.61,360.07,1
M0938,58.85,271.66,0
M0939,71.73,389.88,1
M0940,71.73,126.25,1
M0941,94.27,94.07,0
M0942,56.0,89.45,0
M0943,63.3,254.79,0
M0944,60.75,30.93,0
M0945,119.87,135.64,1
M0946,74.17,211.15,0
M0947,69.1,366.36,1
M0948,67.7,468.46,1
M0949,86.55,20.9,0
M0950,84.61,254.36,0
M0951,113.56,405.94,1
M0952,104.31,396.82,0
M0953,91.64,421.83,0
M0954,94.02,414.44,1
M0955,111.11,327.28,1
M0956,118.99,334.03,1
M0957,91.21,92.76,0
M0958,75.19,405.83,1
M0959,80.07,128.92,1
M0960,77.93,270.95,1
M0961,81.86,62.43,0
M0962,86.22,453.98,0
M0963,53.15,486.94,1
M0964,98.63,430.19,1
M0965,118.03,123.64,1
M0966,107.54,493.5,1
M0967,50.03,368.34,0
M0968,62.47,372.85,1
M0969,84.48,111.16,0
M0970,74.98,237.57,0
M0971,77.71,70.6,0
M0972,106.97,372.08,0
M0973,113.59,172.94,0
M0974,103.09,257.62,1
M0975,65.37,485.52,0
M0976,66.34,239.74,0
M0977,92.36,377.47,0
M0978,86.85,32.29,0
M0979,54.61,418.53,1
M0980,66.04,265.04,1
M0981,57.93,236.22,1
M0982,114.66,443.51,1
M0983,96.19,148.48,0
M0984,79.84,295.21,0
M0985,59.92,454.12,0
M0986,74.47,230.91,1
M0987,55.88,76.5,1
M0988,66.65,56.34,0
M0989,119.97,357.7,1
M0990,59.04,17.32,1
M0991,63.14,222.39,1
M0992,58.09,148.6,1
M0993,69.06,118.74,1
M0994,103.97,47.71,1
M0995,72.38,265.65,1
M0996,63.92,258.59,1
